Book-Title,Book-Author,Year-Of-Publication,Publisher
Classical Mythology,Mark P. O. Morford,2002,Oxford University Press
Clara Callan,Richard Bruce Wright,2001,HarperFlamingo Canada
Decision in Normandy,Carlo D'Este,1991,HarperPerennial
Flu: The Story of the Great Influenza Pandemic of 1918 and the Search for the Virus That Caused It,Gina Bari Kolata,1999,Farrar Straus Giroux
The Mummies of Urumchi,E. J. W. Barber,1999,W. W. Norton &amp; Company
The Kitchen God's Wife,Amy Tan,1991,Putnam Pub Group
What If?: The World's Foremost Military Historians Imagine What Might Have Been,Robert Cowley,2000,Berkley Publishing Group
PLEADING GUILTY,Scott Turow,1993,Audioworks
Under the Black Flag: The Romance and the Reality of Life Among the Pirates,David Cordingly,1996,Random House
Where You'll Find Me: And Other Stories,Ann Beattie,2002,Scribner
Nights Below Station Street,David Adams Richards,1988,Emblem Editions